Subsystem,Emissions
CoolingSubsystem,609.5
ASU,323813.5
HydrogenProduction,2578.75
SyngasCompression,940901.65
HaberBoschUnit,6505686.88
CoolingSubsystem,574.2
ASU,323813.5
HydrogenProduction,2578.75
SyngasCompression,940901.65
HaberBoschUnit,6505686.88
CoolingSubsystem,574.2
ASU,321153.0
HydrogenProduction,1300.05
SyngasCompression,1441642.45
HaberBoschUnit,6720809.35
CoolingSubsystem,732.4
ASU,321153.0
HydrogenProduction,1300.05
SyngasCompression,1441642.45
HaberBoschUnit,6720809.35
CoolingSubsystem,732.4
ASU,553582.75
HydrogenProduction,2910.05
SyngasCompression,710050.6
HaberBoschUnit,13686739.98
CoolingSubsystem,582.85
ASU,553582.75
HydrogenProduction,2910.05
SyngasCompression,710050.6
HaberBoschUnit,13686739.98
CoolingSubsystem,582.85
ASU,291087.65
HydrogenProduction,2382.3
SyngasCompression,1628731.15
HaberBoschUnit,15453151.18
CoolingSubsystem,646.0
ASU,291087.65
HydrogenProduction,2382.3
SyngasCompression,1628731.15
HaberBoschUnit,15453151.18
CoolingSubsystem,646.0
ASU,336585.5
HydrogenProduction,2783.5
SyngasCompression,867933.05
HaberBoschUnit,9950102.12
CoolingSubsystem,489.7
ASU,336585.5
HydrogenProduction,2783.5
SyngasCompression,867933.05
HaberBoschUnit,9950102.12
CoolingSubsystem,489.7
ASU,566268.05
HydrogenProduction,1500.2
SyngasCompression,1311861.2
HaberBoschUnit,8096423.96
CoolingSubsystem,954.2
ASU,566268.05
HydrogenProduction,1500.2
SyngasCompression,1311861.2
HaberBoschUnit,8096423.96
CoolingSubsystem,954.2
ASU,338647.5
HydrogenProduction,1641.75
SyngasCompression,1390641.8
HaberBoschUnit,5821336.4
CoolingSubsystem,1107.5
ASU,338647.5
HydrogenProduction,1641.75
SyngasCompression,1390641.8
HaberBoschUnit,5821336.4
CoolingSubsystem,1107.5
ASU,426480.0
HydrogenProduction,3873.15
SyngasCompression,916003.1
HaberBoschUnit,7840127.37
CoolingSubsystem,673.7
ASU,426480.0
HydrogenProduction,3873.15
SyngasCompression,916003.1
HaberBoschUnit,7840127.37
CoolingSubsystem,673.7
ASU,282134.15
HydrogenProduction,2074.15
SyngasCompression,1600228.1
HaberBoschUnit,5531302.03
CoolingSubsystem,761.85
ASU,282134.15
HydrogenProduction,2074.15
SyngasCompression,1600228.1
HaberBoschUnit,5531302.03
CoolingSubsystem,761.85
ASU,509116.45
HydrogenProduction,2983.6
SyngasCompression,746005.45
HaberBoschUnit,4402274.18
CoolingSubsystem,1098.05
ASU,509116.45
HydrogenProduction,2983.6
SyngasCompression,746005.45
HaberBoschUnit,4402274.18
CoolingSubsystem,1098.05
ASU,364695.15
HydrogenProduction,2247.5
SyngasCompression,648039.35
HaberBoschUnit,6700962.7
CoolingSubsystem,701.7
ASU,364695.15
HydrogenProduction,2247.5
