Subsystem,Emissions
SyngasCompression,50332.1
HaberBoschUnit,427332.62
CoolingSubsystem,28.05
ASU,16960.15
HydrogenProduction,104.5
SyngasCompression,50332.1
HaberBoschUnit,427332.62
CoolingSubsystem,28.05
ASU,16818.7
HydrogenProduction,196.05
SyngasCompression,81552.9
HaberBoschUnit,234554.66
CoolingSubsystem,21.85
ASU,16818.7
HydrogenProduction,196.05
SyngasCompression,81552.9
HaberBoschUnit,234554.66
CoolingSubsystem,21.85
ASU,9849.45
HydrogenProduction,69.15
SyngasCompression,37722.4
HaberBoschUnit,266504.4
CoolingSubsystem,21.7
ASU,9849.45
HydrogenProduction,69.15
SyngasCompression,37722.4
HaberBoschUnit,266504.4
CoolingSubsystem,21.7
ASU,11131.4
HydrogenProduction,122.55
SyngasCompression,40976.35
HaberBoschUnit,222944.13
CoolingSubsystem,36.95
ASU,11131.4
HydrogenProduction,122.55
SyngasCompression,40976.35
HaberBoschUnit,222944.13
CoolingSubsystem,36.95
ASU,18868.85
HydrogenProduction,84.6
SyngasCompression,42276.4
HaberBoschUnit,360084.86
CoolingSubsystem,34.9
ASU,18868.85
HydrogenProduction,84.6
SyngasCompression,42276.4
HaberBoschUnit,360084.86
CoolingSubsystem,34.9
